Id,Ref,Package,Qty,Value
1,BZ1,Buzzer_12x9.5RM7.6,1,Buzzer
5,C11 C1 C4 C5 C6 C13 C14 C15 C17 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C2 C7 C3 C9 C31,C_0805_HandSoldering,24,100n 50V
35,C29 C30,CP_Elec_6.3x5.3,2,100u 6V
11,C8 C10 C16 C18 C12,C_0805_HandSoldering,5,22p 10V
14,D2 D11,LED_0603_HandSoldering,2,LL-S194PBC-B4-1B
15,D1 D3 D4,D_SOD-123,3,USL1M
6,D5 D6,LED_0603_HandSoldering,2,LL-S192UAC-1A
37,D7 D8 D9 D10,0802_side_led,4,OSR50802C1E
16,F1,R_1210_HandSoldering,1,Polyfuse 500mA
17,G1,Geiger,1,STS-20 geiger + 2 KEYSTONE 3518P
18,ICSP,Pin_Header_Straight_2x03_Pitch2.54mm,1,ISP
19,J2,USB_Micro-B_Molex-105017-0001,1,MOLEX 105017 0001
4,J3,Pin_Header_Angled_1x06_Pitch2.54mm,1,Angled connector
20,L1,L_Radial_D7.2mm_P3.00mm_MuRATA_1700,1,15mH FASTRON 11PHC-153K-50
21,Q1 Q2 Q4 Q5,SOT-23_Handsoldering,4,BC847
22,Q3,SOT-23_Handsoldering,1,MMBTA42
23,R1,R_1206_HandSoldering,1,10M YAGEO RC1206JR-0710ML
7,R15 R16 R10 R13 R14 R19,R_0805_HandSoldering,6,1k
24,R2 R6 R9 R17 R18,R_0805_HandSoldering,5,220
26,R4 R5 R12 R11 R7 R20 R3 R8,R_0805_HandSoldering,8,100k
29,RV1,Potentiometer_Trimmer_Vishay_T73XW_Vertical,1,100
30,SW1,SW_DIP_x2_W7.62mm_Slide,1,DIPTRONICS NDI-02H-V
31,U1 U3,SOIC-8_3.9x4.9mm_Pitch1.27mm,2,LM555N
32,U2,TQFP-32_7x7mm_Pitch0.8mm,1,ATMEGA328P-AU
33,U4,SOP-16_4.4x10.4mm_Pitch1.27mm,1,CH340G
36,Y1,Crystal_SMD_HC49-SD_HandSoldering,1,16MHz LF XTAL003237
34,Y2,Crystal_SMD_HC49-SD_HandSoldering,1,12MHz LF XTAL003210
